sex,province,education,religion_importance,aboriginal,hh_size,age
Female,Manitoba,Below Bachelor,Very important,Yes,1,53.8
Female,Newfoundland and Labrador,Below Bachelor,Very important,Yes,2,64.9
Female,British Columbia,Below Bachelor,Not at all important,No,3,31.4
Female,Quebec,Below Bachelor,Somewhat important,No,4,38.2
Male,Quebec,Below Bachelor,Not very important,No,2,56.1
Female,Ontario,Below Bachelor,Somewhat important,No,1,72.8
Female,Saskatchewan,Below Bachelor,Very important,No,3,18.3
Male,Manitoba,Below Bachelor,Very important,No,2,65
Male,Manitoba,Below Bachelor,Very important,No,2,80
Male,Ontario,Below Bachelor,Not at all important,No,2,70.8
Female,Quebec,Below Bachelor,Very important,No,2,60.8
Male,Alberta,Below Bachelor,Not at all important,No,2,56.2
Female,Ontario,Below Bachelor,Very important,No,2,79.3
Female,British Columbia,Below Bachelor,Somewhat important,No,3,59.3
Female,New Brunswick,Below Bachelor,Very important,No,1,43.7
Male,New Brunswick,Below Bachelor,Very important,No,1,56.7
Female,British Columbia,Below Bachelor,Not very important,No,2,56
Female,Saskatchewan,Below Bachelor,Somewhat important,No,3,46.7
Female,Newfoundland and Labrador,Below Bachelor,Very important,No,2,51.3
Male,Quebec,Below Bachelor,Very important,No,2,54.4
Male,New Brunswick,Below Bachelor,Somewhat important,No,2,28.6
Female,New Brunswick,Below Bachelor,Somewhat important,No,2,68
Female,Ontario,Below Bachelor,Somewhat important,No,4,47.5
Male,Alberta,Below Bachelor,Very important,No,2,57.6
Female,Ontario,Below Bachelor,Somewhat important,No,4,37.3
Male,Manitoba,Below Bachelor,Not at all important,No,5,37.9
Female,Ontario,Below Bachelor,Not very important,No,4,32.5
Female,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,4,40.5
Male,Prince Edward Island,Below Bachelor,Not very important,No,1,62
Female,New Brunswick,Below Bachelor,Somewhat important,No,2,39.4
Female,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,2,31
Male,Quebec,Below Bachelor,Not at all important,No,1,65.8
Female,Prince Edward Island,Below Bachelor,Not very important,No,1,25.9
Female,Newfoundland and Labrador,Below Bachelor,Not at all important,No,4,43.5
Female,Quebec,Below Bachelor,Very important,No,2,80
Female,Quebec,Below Bachelor,Somewhat important,No,2,56.1
Male,Quebec,Below Bachelor,Somewhat important,No,4,43
Male,Manitoba,Below Bachelor,Not at all important,No,3,21
Female,Prince Edward Island,Below Bachelor,Somewhat important,No,2,59.9
Female,Prince Edward Island,Below Bachelor,Very important,No,2,80
Female,Quebec,Below Bachelor,Somewhat important,No,3,73.1
Female,Quebec,Below Bachelor,Somewhat important,No,2,58.8
Male,Manitoba,Below Bachelor,Very important,Yes,1,58
Female,British Columbia,Below Bachelor,Very important,No,2,61.7
Female,British Columbia,Below Bachelor,Not at all important,No,2,29.4
Male,Alberta,Below Bachelor,Very important,Yes,1,55.5
Female,Ontario,Below Bachelor,Very important,No,2,67.5
Female,British Columbia,Below Bachelor,Not at all important,No,2,18.8
Male,Nova Scotia,Below Bachelor,Not very important,No,2,66.3
Male,Ontario,Below Bachelor,Somewhat important,No,1,59.1
Female,Manitoba,Below Bachelor,Very important,No,2,45.1
Male,Ontario,Below Bachelor,Somewhat important,No,4,58.1
Female,Ontario,Below Bachelor,Not at all important,Yes,3,29.7
Female,Ontario,Below Bachelor,Very important,No,4,36.3
Male,Newfoundland and Labrador,Below Bachelor,Not at all important,Yes,3,53.7
Male,Ontario,Below Bachelor,Not very important,No,4,22.3
Male,Quebec,Below Bachelor,Somewhat important,No,1,31.9
Female,Manitoba,Below Bachelor,Very important,No,1,51.8
Male,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,2,74.1
Female,Ontario,Below Bachelor,Not very important,No,1,36.3
Male,Prince Edward Island,Below Bachelor,Not very important,Yes,5,37.9
Male,British Columbia,Below Bachelor,Very important,No,2,80
Male,Quebec,Below Bachelor,Somewhat important,No,2,52.2
Female,British Columbia,Below Bachelor,Not at all important,No,1,64.6
Female,Prince Edward Island,Below Bachelor,Very important,No,2,41.2
Male,Ontario,Below Bachelor,Not very important,No,1,35.9
Male,Quebec,Below Bachelor,Somewhat important,No,2,48.7
Female,Quebec,Below Bachelor,Somewhat important,No,1,65.4
Female,New Brunswick,Below Bachelor,Not very important,No,5,27.5
Female,Ontario,Below Bachelor,Not very important,No,4,15.2
Male,Newfoundland and Labrador,Below Bachelor,Not at all important,No,1,41.3
Female,Ontario,Below Bachelor,Somewhat important,No,4,47.8
Female,British Columbia,Below Bachelor,Not at all important,No,2,80
Female,Nova Scotia,Below Bachelor,Not at all important,No,2,57.8
Male,Alberta,Below Bachelor,Somewhat important,No,2,33.4
Male,British Columbia,Below Bachelor,Very important,No,2,64.2
Female,Manitoba,Below Bachelor,Not very important,No,1,54.2
Female,Quebec,Below Bachelor,Very important,No,2,58.3
Female,Ontario,Below Bachelor,Very important,No,2,54
Male,Saskatchewan,Below Bachelor,Not at all important,No,1,69.1
Female,Manitoba,Below Bachelor,Not very important,No,1,80
Male,Alberta,Below Bachelor,Very important,Yes,3,55.7
Male,Ontario,Below Bachelor,Somewhat important,No,2,69
Female,Quebec,Below Bachelor,Not very important,No,3,24.7
Male,Quebec,Below Bachelor,Not very important,No,3,31.3
Female,British Columbia,Below Bachelor,Not at all important,No,4,45.3
Male,British Columbia,Below Bachelor,Not at all important,No,4,59.4
Male,Nova Scotia,Below Bachelor,Not very important,No,2,71.3
Male,Ontario,Below Bachelor,Very important,No,1,68.3
Male,Quebec,Below Bachelor,Very important,No,2,63.6
Male,Ontario,Below Bachelor,Very important,No,3,36.5
Male,British Columbia,Below Bachelor,Very important,No,1,33.6
Female,Saskatchewan,Below Bachelor,Very important,No,2,57.8
Male,British Columbia,Below Bachelor,Very important,No,1,66
Male,Manitoba,Below Bachelor,Very important,No,1,50.9
Female,Quebec,Below Bachelor,Very important,No,2,80
Male,British Columbia,Below Bachelor,Very important,No,2,65.8
Male,Quebec,Below Bachelor,Somewhat important,No,4,36.7
Female,Saskatchewan,Below Bachelor,Not at all important,No,4,29.3
Male,Prince Edward Island,Below Bachelor,Very important,No,2,55.2
Female,Saskatchewan,Below Bachelor,Somewhat important,No,2,54.7
Male,Quebec,Below Bachelor,Not at all important,No,4,51.2
Female,British Columbia,Below Bachelor,Very important,No,4,52.4
Male,Ontario,Below Bachelor,Somewhat important,No,1,29.3
Female,British Columbia,Below Bachelor,Very important,No,3,39.3
Female,Ontario,Below Bachelor,Very important,No,1,75
Female,Quebec,Below Bachelor,Not very important,No,1,71.9
Female,Ontario,Below Bachelor,Not at all important,No,2,21.3
Female,Nova Scotia,Below Bachelor,Very important,No,2,60.9
Female,Prince Edward Island,Below Bachelor,Very important,No,1,56.9
Female,Nova Scotia,Below Bachelor,Very important,No,1,80
Female,Nova Scotia,Below Bachelor,Not at all important,No,4,35.4
Female,Ontario,Below Bachelor,Not very important,No,2,26.8
Male,Quebec,Below Bachelor,Very important,No,2,70.5
Male,Ontario,Below Bachelor,Somewhat important,No,1,53.8
Female,Nova Scotia,Below Bachelor,Somewhat important,No,2,36.4
Female,British Columbia,Below Bachelor,Don't know,No,1,80
Female,Quebec,Below Bachelor,Not very important,No,2,56.5
Female,Ontario,Below Bachelor,Very important,No,1,76.1
Female,Saskatchewan,Below Bachelor,Very important,No,4,40.6
Female,Quebec,Below Bachelor,Not at all important,No,2,20.2
Female,New Brunswick,Below Bachelor,Somewhat important,No,3,67.5
Male,Ontario,Below Bachelor,Very important,No,2,65.8
Male,Ontario,Below Bachelor,Somewhat important,No,4,15.4
Male,Manitoba,Below Bachelor,Somewhat important,No,2,72.8
Female,Alberta,Below Bachelor,Very important,No,2,53.4
Male,Quebec,Below Bachelor,Not at all important,No,2,63.4
Male,Quebec,Below Bachelor,Not very important,No,6,41
Female,Nova Scotia,Below Bachelor,Not at all important,Yes,3,41.5
Female,Prince Edward Island,Below Bachelor,Very important,No,5,40
Female,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,4,48.8
Male,Manitoba,Below Bachelor,Very important,No,1,63.3
Male,Alberta,Below Bachelor,Very important,No,2,45.2
Male,Saskatchewan,Below Bachelor,Very important,No,2,30.5
Female,Saskatchewan,Below Bachelor,Very important,Yes,1,67
Female,Ontario,Below Bachelor,Very important,No,4,67.9
Female,Manitoba,Below Bachelor,Not very important,No,1,69.2
Male,Saskatchewan,Below Bachelor,Somewhat important,No,2,56.3
Female,Ontario,Below Bachelor,Not at all important,No,2,37.8
Female,Ontario,Below Bachelor,Not very important,No,2,26.2
Female,Ontario,Below Bachelor,Not at all important,No,5,17.3
Female,Ontario,Below Bachelor,Very important,No,1,56
Female,New Brunswick,Below Bachelor,Don't know,No,1,80
Male,Prince Edward Island,Below Bachelor,Not at all important,No,2,55.2
Female,Newfoundland and Labrador,Below Bachelor,Very important,No,3,54.8
Female,Ontario,Below Bachelor,Very important,No,3,42.2
Female,Ontario,Below Bachelor,Very important,No,1,65.9
Male,British Columbia,Below Bachelor,Somewhat important,No,2,73.3
Female,Alberta,Below Bachelor,Very important,No,1,33.4
Male,Quebec,Below Bachelor,Somewhat important,No,2,71
Male,British Columbia,Below Bachelor,Somewhat important,Yes,1,51
Male,Alberta,Below Bachelor,Not very important,Yes,1,61.3
Male,Ontario,Below Bachelor,Not very important,No,1,66.2
Female,Newfoundland and Labrador,Below Bachelor,Not at all important,No,3,20.7
Male,Alberta,Below Bachelor,Not at all important,No,2,55.3
Female,Ontario,Below Bachelor,Not very important,No,2,31
Female,Ontario,Below Bachelor,Somewhat important,No,5,20.1
Female,Quebec,Below Bachelor,Very important,No,1,69.9
Male,Quebec,Below Bachelor,Not at all important,No,4,62.8
Female,British Columbia,Below Bachelor,Somewhat important,No,1,46.6
Male,Quebec,Below Bachelor,Not at all important,No,2,63.3
Male,Saskatchewan,Below Bachelor,Not at all important,No,1,29.5
Female,Saskatchewan,Below Bachelor,Very important,No,2,68.3
Male,British Columbia,Below Bachelor,Not very important,No,1,41.3
Female,Manitoba,Below Bachelor,Not at all important,No,1,62.3
Female,Ontario,Below Bachelor,Very important,No,3,55.9
Male,Alberta,Below Bachelor,Not very important,No,2,60.8
Female,Newfoundland and Labrador,Below Bachelor,Very important,No,1,80
Female,Quebec,Below Bachelor,Not very important,No,6,40.3
Female,British Columbia,Below Bachelor,Somewhat important,No,5,43
Male,Ontario,Below Bachelor,Not at all important,No,2,61.2
Female,Ontario,Below Bachelor,Very important,No,2,76.8
Female,Prince Edward Island,Below Bachelor,Somewhat important,No,1,62
Female,British Columbia,Below Bachelor,Not at all important,No,2,56.7
Male,British Columbia,Below Bachelor,Not at all important,No,2,68.4
Female,British Columbia,Below Bachelor,Very important,No,2,61.2
Female,Ontario,Below Bachelor,Not at all important,No,2,60.5
Male,Quebec,Below Bachelor,Not at all important,No,4,20.6
Male,Prince Edward Island,Below Bachelor,Not at all important,No,1,23
Female,Ontario,Below Bachelor,Not at all important,No,2,55.3
Female,Nova Scotia,Below Bachelor,Not at all important,No,3,43.4
Female,Newfoundland and Labrador,Below Bachelor,Not at all important,No,2,60.7
Female,Quebec,Below Bachelor,Don't know,No,2,67.6
Female,Quebec,Below Bachelor,Not at all important,No,2,42.3
Female,Alberta,Below Bachelor,Very important,No,2,70.4
Female,British Columbia,Below Bachelor,Not at all important,No,4,47.9
Female,British Columbia,Below Bachelor,Not at all important,No,2,27.5
Female,Ontario,Below Bachelor,Not at all important,No,1,51.4
Female,Ontario,Below Bachelor,Somewhat important,No,2,44.1
Male,Ontario,Below Bachelor,Not at all important,No,1,29.4
Male,Ontario,Below Bachelor,Not at all important,No,1,68.4
Female,Nova Scotia,Below Bachelor,Very important,No,2,63.4
Female,Prince Edward Island,Below Bachelor,Very important,No,1,80
Female,Quebec,Below Bachelor,Very important,No,1,38.5
Male,Manitoba,Below Bachelor,Somewhat important,No,1,35.4
Male,Manitoba,Below Bachelor,Somewhat important,No,4,25
Female,Nova Scotia,Below Bachelor,Very important,No,1,76.7
Female,Ontario,Below Bachelor,Somewhat important,No,4,53.5
Female,Alberta,Below Bachelor,Very important,No,2,33.5
Male,Nova Scotia,Below Bachelor,Not very important,No,4,43.3
Female,Ontario,Below Bachelor,Very important,No,2,78.4
Male,Ontario,Below Bachelor,Not at all important,No,2,68.9
Male,Alberta,Below Bachelor,Somewhat important,No,2,64
Female,Ontario,Below Bachelor,Very important,No,1,75.2
Male,Ontario,Below Bachelor,Not very important,No,2,43.6
Female,Ontario,Below Bachelor,Very important,No,1,80
Male,Ontario,Below Bachelor,Very important,No,2,60.8
Female,Quebec,Below Bachelor,Not at all important,No,3,28.9
Female,Ontario,Below Bachelor,Somewhat important,No,3,29.9
Male,Quebec,Below Bachelor,Not at all important,No,3,60.7
Female,Prince Edward Island,Below Bachelor,Very important,No,2,68.9
Male,Prince Edward Island,Below Bachelor,Somewhat important,No,2,58.7
Female,Alberta,Below Bachelor,Very important,No,1,68.2
Male,British Columbia,Below Bachelor,Very important,No,1,53.4
Female,Alberta,Below Bachelor,Somewhat important,No,4,36.5
Male,Ontario,Below Bachelor,Somewhat important,No,2,74.3
Female,Alberta,Below Bachelor,Somewhat important,No,6,28.7
Female,Ontario,Below Bachelor,Not very important,No,1,67
Female,Ontario,Below Bachelor,Very important,No,1,70.7
Female,Ontario,Below Bachelor,Not at all important,No,2,21.9
Male,Nova Scotia,Below Bachelor,Very important,No,3,15.2
Female,Alberta,Below Bachelor,Very important,No,1,69.9
Male,Quebec,Below Bachelor,Not very important,No,2,62.3
Male,Prince Edward Island,Below Bachelor,Somewhat important,No,2,58.5
Male,Ontario,Below Bachelor,Not at all important,No,4,29
Male,Ontario,Below Bachelor,Somewhat important,No,4,46.1
Male,Ontario,Below Bachelor,Not at all important,No,2,36.4
Male,Ontario,Below Bachelor,Not very important,No,2,56.3
Female,Ontario,Below Bachelor,Not very important,No,2,46.2
Male,Quebec,Below Bachelor,Somewhat important,No,1,51.6
Female,Nova Scotia,Below Bachelor,Very important,No,3,34.4
Male,Ontario,Below Bachelor,Not at all important,Yes,1,45.8
Male,Quebec,Below Bachelor,Not at all important,No,2,62.4
Female,British Columbia,Below Bachelor,Somewhat important,No,2,59.5
Male,Manitoba,Below Bachelor,Somewhat important,No,2,80
Female,Quebec,Below Bachelor,Somewhat important,No,4,16.5
Female,Ontario,Below Bachelor,Very important,No,1,79.6
Female,Alberta,Below Bachelor,Very important,No,2,79.2
Female,British Columbia,Below Bachelor,Not very important,No,2,65.6
Male,Quebec,Below Bachelor,Very important,No,2,79.3
Female,Alberta,Below Bachelor,Somewhat important,No,1,70.7
Female,Saskatchewan,Below Bachelor,Very important,No,2,75.7
Male,Ontario,Below Bachelor,Very important,No,2,76.7
Male,Ontario,Below Bachelor,Not at all important,No,2,79
Male,British Columbia,Below Bachelor,Not very important,No,2,61.2
Male,Saskatchewan,Below Bachelor,Very important,No,1,55.5
Female,Ontario,Below Bachelor,Somewhat important,No,2,58.4
Male,Ontario,Below Bachelor,Very important,Yes,4,36.3
Male,Ontario,Below Bachelor,Somewhat important,No,2,56.6
Male,New Brunswick,Below Bachelor,Not very important,No,2,62.3
Female,Prince Edward Island,Below Bachelor,Very important,No,2,47.8
Female,British Columbia,Below Bachelor,Very important,No,1,68.2
Male,Prince Edward Island,Below Bachelor,Not at all important,No,3,38.9
Female,Newfoundland and Labrador,Below Bachelor,Very important,No,1,69.6
Male,Quebec,Below Bachelor,Not very important,No,3,17.5
Male,British Columbia,Below Bachelor,Very important,No,3,16.1
Female,Alberta,Below Bachelor,Not very important,No,2,31.2
Female,Saskatchewan,Below Bachelor,Very important,No,4,15.6
Female,New Brunswick,Below Bachelor,Very important,No,2,72.8
Male,Nova Scotia,Below Bachelor,Somewhat important,No,1,57.4
Male,British Columbia,Below Bachelor,Not at all important,No,4,38.7
Male,British Columbia,Below Bachelor,Not at all important,No,1,31
Female,Alberta,Below Bachelor,Very important,No,2,72.8
Male,British Columbia,Below Bachelor,Very important,No,3,49
Male,Nova Scotia,Below Bachelor,Not at all important,No,3,30.8
Female,Newfoundland and Labrador,Below Bachelor,Somewhat important,Yes,2,62.8
Female,Quebec,Below Bachelor,Somewhat important,No,2,64.5
Male,Alberta,Below Bachelor,Not very important,No,2,24.3
Male,Saskatchewan,Below Bachelor,Very important,Yes,2,71.5
Male,Quebec,Below Bachelor,Not at all important,No,3,25.4
Female,British Columbia,Below Bachelor,Somewhat important,Yes,2,52.2
Female,Quebec,Below Bachelor,Not at all important,No,1,66.5
Female,Quebec,Below Bachelor,Very important,No,1,65.1
Female,Nova Scotia,Below Bachelor,Not at all important,No,1,76.6
Male,Prince Edward Island,Below Bachelor,Somewhat important,No,1,58.3
Male,Ontario,Below Bachelor,Not at all important,No,3,34.6
Female,Ontario,Below Bachelor,Very important,No,2,59.3
Female,Ontario,Below Bachelor,Not very important,No,2,48.9
Female,British Columbia,Below Bachelor,Not very important,No,2,47.9
Female,British Columbia,Below Bachelor,Somewhat important,Yes,1,53.3
Female,Alberta,Below Bachelor,Not very important,No,3,41.6
Female,Ontario,Below Bachelor,Not at all important,No,1,47.5
Female,Saskatchewan,Below Bachelor,Somewhat important,No,1,80
Female,Quebec,Below Bachelor,Somewhat important,No,2,65.9
Female,Quebec,Below Bachelor,Very important,No,1,77.3
Male,Newfoundland and Labrador,Below Bachelor,Don't know,No,1,73
Male,Nova Scotia,Below Bachelor,Not very important,No,2,70.7
Female,Nova Scotia,Below Bachelor,Not very important,No,4,30.1
Male,Quebec,Below Bachelor,Not at all important,No,1,51.7
Male,Ontario,Below Bachelor,Somewhat important,No,2,54.4
Female,Alberta,Below Bachelor,Somewhat important,No,1,27
Male,British Columbia,Below Bachelor,Very important,No,3,55.6
Female,British Columbia,Below Bachelor,Very important,No,1,78.8
Male,Ontario,Below Bachelor,Very important,No,1,62.7
Female,Ontario,Below Bachelor,Very important,No,4,32.9
Male,Ontario,Below Bachelor,Not at all important,No,1,30.1
Female,Ontario,Below Bachelor,Very important,No,1,75.6
Female,Manitoba,Below Bachelor,Very important,No,4,42.2
Female,New Brunswick,Below Bachelor,Somewhat important,No,4,46.7
Male,British Columbia,Below Bachelor,Somewhat important,No,4,27
Male,Quebec,Below Bachelor,Somewhat important,No,5,35.7
Male,Ontario,Below Bachelor,Very important,No,2,66.8
Female,British Columbia,Below Bachelor,Very important,No,1,48.2
Male,Ontario,Below Bachelor,Not at all important,No,1,38.3
Female,British Columbia,Below Bachelor,Not very important,No,4,48.9
Female,Saskatchewan,Below Bachelor,Somewhat important,No,2,31.5
Female,Ontario,Below Bachelor,Somewhat important,No,2,25.9
Male,Saskatchewan,Below Bachelor,Not very important,No,1,70.6
Male,Nova Scotia,Below Bachelor,Somewhat important,No,3,34.8
Male,Newfoundland and Labrador,Below Bachelor,Not very important,No,4,16.2
Female,Quebec,Below Bachelor,Somewhat important,No,2,63.2
Male,Ontario,Below Bachelor,Very important,No,2,17
Female,Alberta,Below Bachelor,Very important,No,6,44.6
Male,New Brunswick,Below Bachelor,Don't know,No,4,37.9
Female,Ontario,Below Bachelor,Very important,No,2,59.7
Male,Quebec,Below Bachelor,Not at all important,No,1,60.9
Male,Ontario,Below Bachelor,Very important,No,4,38.8
Female,Manitoba,Below Bachelor,Somewhat important,No,2,53.2
Male,Ontario,Below Bachelor,Not very important,No,4,46.8
Male,Alberta,Below Bachelor,Not very important,No,4,56
Male,Nova Scotia,Below Bachelor,Very important,Yes,1,52.9
Male,New Brunswick,Below Bachelor,Somewhat important,No,4,50.2
Male,Nova Scotia,Below Bachelor,Somewhat important,No,1,55.1
Male,Alberta,Below Bachelor,Very important,No,1,66
Male,Alberta,Below Bachelor,Very important,No,2,59.4
Male,Nova Scotia,Below Bachelor,Not very important,No,2,47.8
Female,Nova Scotia,Below Bachelor,Very important,No,2,54.5
Female,Quebec,Below Bachelor,Somewhat important,No,2,52.8
Male,Quebec,Below Bachelor,Not at all important,No,3,33.4
Male,Quebec,Below Bachelor,Very important,No,4,43.3
Male,Quebec,Below Bachelor,Not at all important,No,2,69.9
Female,Quebec,Below Bachelor,Somewhat important,No,1,57.3
Male,Prince Edward Island,Below Bachelor,Not at all important,No,3,19.9
Female,Nova Scotia,Below Bachelor,Somewhat important,No,2,27.4
Female,British Columbia,Below Bachelor,Not at all important,No,3,43.8
Female,Ontario,Below Bachelor,Very important,No,5,50.2
Female,Newfoundland and Labrador,Below Bachelor,Very important,No,2,68.8
Male,Alberta,Below Bachelor,Somewhat important,No,3,74.8
Female,Ontario,Below Bachelor,Very important,No,2,74.7
Male,Quebec,Below Bachelor,Somewhat important,No,5,28.4
Male,Quebec,Below Bachelor,Very important,No,2,58
Male,Quebec,Below Bachelor,Not very important,No,2,69.9
Female,Manitoba,Below Bachelor,Somewhat important,No,5,36.1
Male,Quebec,Below Bachelor,Very important,No,2,68.9
Female,Quebec,Below Bachelor,Very important,No,6,36.1
Female,Ontario,Below Bachelor,Somewhat important,No,4,33.9
Male,Nova Scotia,Below Bachelor,Somewhat important,No,3,55
Male,Ontario,Below Bachelor,Somewhat important,No,2,64.5
Female,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,1,46.8
Male,Quebec,Below Bachelor,Not very important,No,5,18.3
Female,British Columbia,Below Bachelor,Very important,No,3,44.3
Male,Quebec,Below Bachelor,Not at all important,No,4,29.7
Female,Alberta,Below Bachelor,Very important,No,2,55.1
Female,New Brunswick,Below Bachelor,Not at all important,No,3,27.5
Male,Prince Edward Island,Below Bachelor,Not at all important,No,4,50.8
Female,Quebec,Below Bachelor,Very important,No,1,59.1
Male,British Columbia,Below Bachelor,Very important,No,2,49.3
Female,Manitoba,Below Bachelor,Somewhat important,No,1,56.7
Female,Ontario,Below Bachelor,Somewhat important,No,2,40.7
Male,Quebec,Below Bachelor,Not at all important,No,2,60
Female,British Columbia,Below Bachelor,Somewhat important,No,3,69.3
Male,British Columbia,Below Bachelor,Not at all important,No,2,46.6
Male,Nova Scotia,Below Bachelor,Not at all important,No,1,35.8
Male,Ontario,Below Bachelor,Very important,No,1,51.8
Female,Manitoba,Below Bachelor,Not at all important,No,3,41.8
Female,Quebec,Below Bachelor,Somewhat important,No,1,80
Female,Ontario,Below Bachelor,Somewhat important,No,3,47.8
Male,Quebec,Below Bachelor,Not very important,No,3,57.4
Female,Quebec,Below Bachelor,Somewhat important,No,1,57.5
Female,Manitoba,Below Bachelor,Somewhat important,No,1,77.8
Female,Ontario,Below Bachelor,Somewhat important,No,2,27.1
Female,Quebec,Below Bachelor,Not very important,No,2,59.7
Male,Quebec,Below Bachelor,Not very important,No,2,74.3
Male,Nova Scotia,Below Bachelor,Not very important,No,2,73.4
Female,Ontario,Below Bachelor,Somewhat important,No,2,76.7
Female,Nova Scotia,Below Bachelor,Somewhat important,No,3,24.5
Male,Manitoba,Below Bachelor,Not very important,Yes,2,30.1
Female,Quebec,Below Bachelor,Very important,No,1,80
Female,New Brunswick,Below Bachelor,Very important,No,1,69.6
Male,British Columbia,Below Bachelor,Very important,No,2,50
Male,Alberta,Below Bachelor,Very important,No,2,69.2
Male,British Columbia,Below Bachelor,Not at all important,No,3,66.9
Female,Ontario,Below Bachelor,Very important,No,1,64.7
Female,Quebec,Below Bachelor,Somewhat important,No,1,45.2
Male,New Brunswick,Below Bachelor,Somewhat important,No,3,23.6
Male,British Columbia,Below Bachelor,Not at all important,No,1,69.1
Female,Ontario,Below Bachelor,Somewhat important,No,4,37.4
Male,Nova Scotia,Below Bachelor,Not at all important,No,1,53.2
Male,Ontario,Below Bachelor,Very important,No,1,63.3
Male,Quebec,Below Bachelor,Not very important,No,1,37.2
Female,British Columbia,Below Bachelor,Very important,No,2,43
Female,Manitoba,Below Bachelor,Very important,No,2,55.2
Female,Nova Scotia,Below Bachelor,Very important,No,1,66
Male,Manitoba,Below Bachelor,Somewhat important,No,5,43.3
Female,Ontario,Below Bachelor,Not at all important,No,2,25.6
Female,Ontario,Below Bachelor,Somewhat important,No,5,18.4
Male,Newfoundland and Labrador,Below Bachelor,Very important,Yes,5,22.5
Male,Quebec,Below Bachelor,Not at all important,No,2,60.7
Female,Saskatchewan,Below Bachelor,Somewhat important,Yes,5,17.6
Female,Saskatchewan,Below Bachelor,Not at all important,No,1,62.8
Female,Quebec,Below Bachelor,Not at all important,No,4,33.4
Female,Ontario,Below Bachelor,Somewhat important,No,2,67.9
Male,Ontario,Below Bachelor,Not very important,No,3,31.8
Female,British Columbia,Below Bachelor,Somewhat important,No,2,67.2
Male,Quebec,Below Bachelor,Somewhat important,No,1,79.8
Female,Prince Edward Island,Below Bachelor,Somewhat important,No,1,80
Male,Quebec,Below Bachelor,Somewhat important,No,1,56.7
Female,British Columbia,Below Bachelor,Not very important,No,3,57.7
Male,British Columbia,Below Bachelor,Somewhat important,No,4,52
Male,Manitoba,Below Bachelor,Somewhat important,No,1,80
Male,Ontario,Below Bachelor,Not very important,No,2,36.4
Male,Manitoba,Below Bachelor,Somewhat important,No,5,54.1
Female,Ontario,Below Bachelor,Very important,No,2,79.2
Male,Alberta,Below Bachelor,Not at all important,No,2,28
Female,Manitoba,Below Bachelor,Very important,Yes,2,56.5
Female,Alberta,Below Bachelor,Very important,No,3,25.8
Male,Quebec,Below Bachelor,Somewhat important,No,3,60.9
Male,Alberta,Below Bachelor,Somewhat important,No,2,26.9
Female,Ontario,Below Bachelor,Somewhat important,No,1,27.5
Female,Manitoba,Below Bachelor,Very important,No,5,26.3
Female,Prince Edward Island,Below Bachelor,Very important,No,3,70.1
Male,New Brunswick,Below Bachelor,Not at all important,No,1,52.3
Male,Saskatchewan,Below Bachelor,Somewhat important,No,3,16.3
Male,Quebec,Below Bachelor,Very important,No,2,79.6
Female,Prince Edward Island,Below Bachelor,Somewhat important,No,1,54.4
Male,Ontario,Below Bachelor,Not at all important,No,1,65.9
Female,Ontario,Below Bachelor,Somewhat important,No,2,35.8
Female,Ontario,Below Bachelor,Very important,No,4,48.1
Female,New Brunswick,Below Bachelor,Somewhat important,No,4,39.2
Male,Quebec,Below Bachelor,Very important,No,2,71.1
Male,Ontario,Below Bachelor,Not very important,No,6,41
Female,British Columbia,Below Bachelor,Very important,No,1,65.8
Male,Quebec,Below Bachelor,Not at all important,No,2,36.8
Female,Nova Scotia,Below Bachelor,Very important,No,1,57.3
Male,Quebec,Below Bachelor,Not at all important,No,2,69.5
Male,Prince Edward Island,Below Bachelor,Somewhat important,No,4,41.3
Female,Ontario,Below Bachelor,Very important,No,1,78.9
Male,Quebec,Below Bachelor,Not at all important,No,1,59.5
Male,Quebec,Below Bachelor,Not at all important,No,1,59.7
Male,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,2,71.4
Female,British Columbia,Below Bachelor,Somewhat important,No,5,22
Male,Quebec,Below Bachelor,Not very important,No,2,59
Female,New Brunswick,Below Bachelor,Very important,No,2,44.3
Female,Alberta,Below Bachelor,Very important,No,1,80
Female,British Columbia,Below Bachelor,Very important,No,1,78.2
Female,Nova Scotia,Below Bachelor,Very important,No,2,67.9
Male,Quebec,Below Bachelor,Very important,No,1,63.8
Female,Ontario,Below Bachelor,Very important,No,2,80
Female,Ontario,Below Bachelor,Very important,No,6,23
Female,British Columbia,Below Bachelor,Very important,No,1,75.2
Female,Alberta,Below Bachelor,Very important,Yes,2,62.2
Male,Quebec,Below Bachelor,Somewhat important,No,5,24.5
Male,Nova Scotia,Below Bachelor,Somewhat important,No,6,38
Female,Newfoundland and Labrador,Below Bachelor,Very important,No,6,41.3
Female,New Brunswick,Below Bachelor,Don't know,No,3,42.6
Male,Prince Edward Island,Below Bachelor,Somewhat important,No,1,39.1
Female,British Columbia,Below Bachelor,Very important,No,1,64.8
Female,Newfoundland and Labrador,Below Bachelor,Not very important,No,4,15.8
